tweet_text,actual_sentiment,predicted_sentiment
jetblue ripped suitcase yelled attitude geraldine employee baggage centerworst airline jetblue,0,0
united going baggage claim newarktiredandwanttogohome,0,0
americanair bought plane ticket month ago still havent received flight info ticket email come,0,0
usairways im sure dont question still remains found crew wont come flt tks,0,0
virginamerica thanks,2,2
americanair refuse customer willing pay upgrade half first class empty,0,0
united rep wouldnt rebook waste time poor communication,0,0
united thats weak see ya hey virginamerica,0,1
united get tsa finally board ua,1,0
usairways u lost ground power three different time grounded endlessly without air light entertainment,0,0
jetblue normally late flightst flight experience worst hour runway wifi amp tv working properly,0,0
americanair yet im next terminal customer service area,0,0
dont see aa united,1,0
southwestair flight hrl limited route,0,1
usairways would consider honoring original fare price try flight booking problem ticket,0,0
americanair britishairways trying speak agent flight london tonight cant get anyone aa help,0,0
southwestair love always get best deal,2,2
united shame there flex ticket transfer rule even calling neurosurgery icu isnt enough,0,0
united many currently operate aircraft operate,1,0
americanair guy totally losing ive aa fan year telling rep busy hanging really bad,0,0
jetblue guy rock,2,2
united trying since file report,0,0
jetblue thats planned boston traffic due recent weather insane expedited would made,1,0
southwestair need request refund flight cancelled flightled morning due weather,0,0
jetblue flight orlando,1,1
jetblue expect delay dca departure going orlando flight,1,0
united received luggage also looked left snow arrived im asking people refunded,0,0
usairways waiting luggage flight delay,0,0
usairways yet see shortly,0,1
southwestair yeah figured thanks,2,2
virginamerica would like help flight please,1,1
yes filed report atlanta bag charlotte nc hour late flightr still cant find luggage usairways,0,0
jetblue maybe stop telling people wrong info customer service call,0,0
virginamerica happened doom,1,1
usairways u pilot started flight announcing arrival gatwick heathrow moment concern aboard,0,0
americanair inconvenience disaster phone bill refuse pay,0,0
virginamerica still develop app favorite airline,1,2
americanair yep moved showed flying standby,1,0
usairways hold minute need help usair wont help,0,0
usairways know youre dealing weather phlairport hot mess pls send reinforcement,0,0
united access frankfurt arrival lounge im flying global first class,1,1
united alright thank page say route aircraft specifically,1,1
jetblue waiting half hr package whats wrong guy,0,0
united ord roc fam came see sna im member dad used mile,1,1
americanair flight home cancelled flightled today way get another flight nyc texas hour wait call back airline,0,0
americanair phone disconnect stay line need checkout hotel hr amp place go cant keep calling,0,0
united true gate agent caused helpful thanks making miss connection,0,0
happy sfo hopefully youll add pdx soon jetblue added two new destination fll sfo la vega last year,1,2
united plane waiting gate two hour passenger onboard cramped seat yuck,0,0
southwestair im upset lied told ice runway every carrier able fly airport confirmed ice,0,0
virginamerica must traveler miss flight late flight check bag missed morning appointment lost business sfolax,0,0
usairways pilot flight didnt show departure amp there broken computer next time flying united alwayslate flight,0,0
united u stranded flying new orleans huston tonight stuck two day rather fly wait,0,0
united mot getting refund,0,0
usairways still hold hr minsthank god chairman status status match delta,0,0
jetblue im honestly would like get going journey,0,0
usairways hold hour cancelled flighted flight understand delay dont understand autoreflight booking problem tuesday help,0,0
southwestair travel advisory posted den make change ticket anything need know call,1,1
virginamerica already contacted central baggage amp sent dm renttherunway charging dress lost suitcase help,0,0
united missing flight attendant delayed flight prime example person impact people hnl gt iah ua wastedtime,0,0
united never fly terrible service ruined entire vacation lostsuitcase noreimbursement,0,0
americanair youre sending gate agent talk u joke airline thanks ruining vacation neverflyaaagain,0,0
jetblue phone agent cant see flight see online cant change ticket even paying frustrating jetblue,0,0
united instead bourbon street quiet plane savethediagonals,1,0
usairways tweeted apology enough delay fiasco none insult gate agent worse except mark n bad clt,0,0
americanair aa time awesome flight great job american,2,2
southwestair glad know ill flying luv airline tomorrow,2,2
usairways ive done everything still luck finding bag dont understand bag could misplaced upsetting,0,0
southwestair thanks,2,2
usairways scheduled flight satmorrow choclt cho need added weather advisory please evaluate asap,1,1
united nice wonder pick respond maybe happy customer easier wonder many left,0,0
americanair ive line waiting minute,0,0
united sfogtaus ua isjx seat appears mite problem dr recently confirmed bug bite mite,0,0
americanair way could look option today,1,0
jetblue im flying miboston icelandair iceland hour check bag way,1,0
americanair dumasttg good morning tamara well try get comfortably flight soon cannoxtralegroom nocoatcloset,0,2
southwestair phlairport flight arrives e penguin plane,1,0
southwestair called told bag made phl still delivered call delivery service,0,0
usairways plane crew professional courteous gate agent flustered,2,0
americanair agent sent family diff plane dfw late flight due delay cancelled flighted plane started fail,0,0
virginamerica tminus minute elevate silver upgrade window open freeneversucks,2,1
jetblue worst postpone trip cant accommodate guest like southwestair neveragain,0,0
united engineer designed door frame extend half foot plane seat forced always sit,0,0
southwestair im line airport right cover hotel fair sleep airport,0,0
united think guy half full flight held overbooked pm flight fill one cancelled flightled mine,0,0
americanair sacraig helped one bit actually ended driving home due extreme disorganization lack communication,0,0
americanair add insult injury go pick real class act ill stick delta,0,0
jetblue fleet fleek plz stop,0,1
americanair aa employee rude unwilling help mile rotten cherry top dog shit sunday nocareforcustomers,0,0
jetblue absolutely worry im never flying ever even hitch hike cross country passengersarepeople,0,0
jetblue left people hot plane ventilation hour half bus jfk,0,0
united thanks reply contact customer care get clarification issue,2,0
usairways thank americanair responsive amp found alternate travel home,0,2
united adamkarren zj save checked snowboard trying check morning website want premgold,1,0
southwestair well mom called earlier guy hold close hour,0,0
usairways jfk baggage office open help rebook u cancelled flightled flight dca shameful,0,0
usairways standby far two u snow storm hitting iowa tomorrow could stuck two day,0,0
jetblue middle seat sfo gt bos fun keep getting credit would much rather working tv,0,0
united caught earlier flight ord gate checked bag youve lost ohare original flight land minute frustrating,0,0
americanair always love opening upgrade email,2,1
southwestair cancelled flighting flight minute takeoff amp sitting min runway rescheduled flight badservice,0,0
virginamerica congrats got business ewr sfolax fuck united fl sfoewr clincher,0,0
usairways denied mom flight needed breast pumping part full flight please fix asap freeflight,0,0
jetblue ready go disneyworld rundisney princesshalf,2,1
americanair break whatever want take responsibilitytoo bad customer medium filmcrew chicagotribune wsj nytimes cnn,0,0
jetblue free wifi board best thing thats happened since sliced bread,2,0
virginamerica hour operation club sfo posted online current,1,0
southwestair hold min far trying book seat infant price increased meantime,0,0
united signed notification first trip updated sure happened,0,0
jetblue love always,2,2
virginamerica seat c cannot even open laptop paid extra seat,0,0
americanairif miss saying goodbye friend cause crappy service swear never hear end itamericanairlines,0,0
united appreciate changing time min multiple time hour flight annoying seems like clue,0,0
didnt need rt jetblue fleet fleek,0,1
usairways get home syracuse cancelled flightled flight one routing three u sitting charlotte,0,0
jetblue yup said would flight change fee plane minute apparently,1,0
usairways stuck florida flight service suck nofood nodrinks nohelp,0,0
americanair issuing weather advisory rdu entire state nc shut overnight winter storm,1,0
americanair nice know paid seat sold seat bought rd seat good scam scam,0,0
united pointless tweet least americanair asked follow try resolve,0,1
americanair sna curfew cause diversion provide transportation lax aa pilot sure time,0,0
usairways seriously keep trying seven hour corporate policy usairwaysfail,0,0
united flight thanks reply,1,2
united appreciate early arrival ua chance ord ever bring bag,0,0
united thats told refund doesnt really makeup inconvenience caused missed meeting,0,0
jetblue appreciate speedy response longer delay inconvenience put customer please nix change fee,0,0
americanair thanks,2,2
southwestair possible carryon put closetoverhead success airline thanks,1,2
united flight worse last flight attendant dont even know whether plane equipped power outlet seat,0,0
usairways minute hold far still havent spoke human never using,0,0
americanair amen,1,1
southwestair considered adding well call back someone free feature support line,0,0
usairways saving grace flight attendant dallas amazing wish would transfer delta would see,0,2
jetblue rt wmcactionnews new airline expected make way mem,1,1
jetblue believe website said could receive credit upcoming flight since cancelled flighted last one true,1,0
americanair flight dfw lit way pdx tomorrow cancelled flighted help,1,0
usairways awesome usair tysvm lt,2,2
united maybe person working customer service desk houston airport line row deep person working,0,0
southwestair amazing c today sw thank much reason fly southwest,2,2
united flight ua sitting tarmac min report whyany input,0,0
americanair great flight experience sfojfk dare say consistent high quality legacy airline keep guy,2,0
southwestair paid inflight wifi work download speed mbps amp ended watching free tv instead,0,0
jetblue delayed flight,0,0
usairways dealing w fam emergency told rebooked aa flight ord system need help asap,0,0
united kudos capt herman relayed chief pilot emailing someone,2,0
united one great airline,2,2
united luggage set go dca however rerouted dulles currently nolo however bag houston fix,0,0
united thanks im booked spent extra hr ten w explanation flying middle seat char instead memphis,0,0
americanair great thanks followed,2,2
united ethiopia adopting child need flight home add grr late flight early need change existing reservation,1,1
americanair unamerican airline lie poor customer service,0,0
southwestair let u plane bc toilet done even work go family vacay playa del carmen mexico neveragain,0,0
americanair understand flight day going twice im extra med diaper baby,0,0
united amsterdam ewr,1,0
usairways know suicide second leading cause death among teen,1,1
americanair use aa credit platinum select world mastercard alaska flight american,1,0
united lack customer service astounds worst airline history airline train staff,0,0
southwestair employee spreading bit mardigras cheer morning atlanta nftyconvention,1,1
southwestairs ceo kelly draw record crowd bwiairport business partnership breakfast,1,1
americanair thats number called wouldnt let speak agent issue weather today,0,0
southwestair lost bag flight vega el paso going dallas love gate attendant said see coordinate get love,0,2
thanks usairways fispahani weather disruption caused crew run late flight sorry delay flight,0,0
jetblue lol fleet fleek see yall ballin new jet deck,1,1
americanair there employee gate jfk telling people bag doesnt fit need checked clearly fit aa,0,0
southwestair pls help get resolved amp reimbursement made gracias rico pls send private msg phone number email address,0,0
southwestair thx note flight cancelled flightled today booked go another carrier,0,0
united denied upgrade catering issue poorservice,0,0
southwestair make u tru find space flight customer service bad spiritairlines,0,0
usairways americanair best u could doi might get refund within billing cycle month u guy asking another chance im done,0,1
usairways tried reaching guy im running time patience want flight honor want confirmation,0,0
united hour gate plane late flightr still update explanation apology worstairlineever unitedairlines,0,0
united got gate thanks checking,2,2
united time rantyou delayed flight still forgot luggagethen delayed tarmac moment love united,0,0
americanair abc pr let customer info possible might want go brush basic,0,0
jetblue thanks much cant wait fly guy,2,2
jetblue best airline wifi ever thank,2,2
southwestair great flight phoenix dallas tonightgreat service time make timieyancey happy,2,2
americanair suppose fl hour ago im ive waiting hour ridiculous,0,0
united crossed prior time carrier issue karen rude untrained unhelpful also spoke,0,0
americanair thank much appreciated plane min gate,2,2
americanair retrain customer service first make proper adjustment cancelled flightling flight mistake,0,0
jetblue tsapre work every airline pay good money spent min phone fix zero success,0,0
virginamerica new go airline,1,2
united morning delayed hour get newark meeting,0,0
usairways mad love nyc,1,2
united thank compensating u lost bag fly unitedairlines,2,0
usairways told return call human,0,0
southwestair easy fix let business select actually board st board preboards,1,0
united patient luxurious middle seat next delayed flight,0,0
united unsmiling rep told u hotel shuttle come like every minute breezy min late flightr taking cab going reimburse,0,0
southwestair check see flight nyc expected delayed cancelled flightled tuesday,1,0
usairways hii travel question could please follow dm,1,1
americanair trying speak agent whole day cancelled flightled flight,0,0
southwestair get flight denver ill happy,1,2
usairways travelling pwm atl sunday flight got cancelled flightled new flight cancelled flightled got disconnected reflight booking problem,0,0
southwestair love imagine dragon flipping much pls destinationdragons,2,1
usairways fam thats supposed fly currently hosp try speak human yr phone sys cut pls hlp,0,0
jetblue want deal customer service agent practical knowledgeprovide direct contact,0,0
americanair picture taken time right totallyconfused,1,0
virginamerica check new music,1,1
usairways need help air clt phl conf dmqf need confirmed bna bumped day need home,0,0
united head didnt check bag checked arrived arent claim people bag,0,0
united asked boyfriend prom loudspeaker flight said yes best day ever thank u much,2,2
usairways redeem pas admiral club free visit barclay card membership bring companion,1,1
southwestair lovedragonss lol im sorry im seeing lauren oh god ahhhh,2,1
southwestair thank u thank u thank u coming u sincerely didnt think would happen lt swa thankyou,2,2
americanair two non rev right,1,0
usairways delayed depart bc ur flight attendant wasnt landing took hr get gate another bag,0,0
united need follow dm give info,1,1
southwestair pair ticket imaginedragons show atlanta id love go destinationdragons,1,1
united get account number website say email unavailable,0,0
united thanks link finally arrived brussels h schedule,0,2
jetblue ever consider coming memphis need trueblue service fare badly,1,0
united appreciated case waited extra minute lost mechanic fax log faxlike,0,0
usairways landed safely everything worked,2,2
jetblue hope plane appear leaving nearby terminal gate,1,0
united airline comcast xfinity cableinternet,0,0
usairways update flight philly la sitting gate close hour,0,0
southwestair bad enough seat assigned he seating exit seat male flight attendant remove,0,0
americanair refund,0,0
southwestair bad weather multiple cancelled flighted flight u scared noted next time,0,0
united uhuhgroup trying get nashville iad today instead tomorrowwhy preemptive though,1,1
southwestair sureill send message,1,1
jetblue offering special fare gopuregrenada discovergrenada caribbejan islandexpert,1,1
usairways despicable flight plan lost weve sitting tarmac hour min flight,0,0
southwestair think group could use nice cold drink get airwe,1,1
united think best first class ever gotten denver lax wonderful,2,2
americanair connect person without wait hour hold still havent able resolve problem,0,0
usairways obj even airline scheming get follow obj lmaooo,1,0
virginamerica well didntbut,2,2
usairways never mind could told gate way could delay min,0,0
americanair thank acknowledgement ife didnt work well anyway maybe time upgrade lower profile system,0,2
americanair cancelled flightled cant get two day explanation,0,0
united great hear thankyou much greatly appreciate reply feel much settled,2,2
united thanks kp please also mention quiche breakfast tandoori chicken dinner entree accompaniment truly first class,2,2
united really need better system handling cancelled flightled flight,0,0
united flight already cancelled flightled morning snow storm denver im dc waiting pilot get,0,0
united denied sure charge one way way hime,0,0
americanair isnt sheer incompetence reigning dfw today plane gd runway doubt,0,0
americanair robocalls another cancelled flightation dont accept change wont let connect agent wow,0,0
jetblue analystdoc unfortunately thats available option current system sorry guy thats certain fail fix plz,0,0
united thanks trying take money without notice industry cancelled flight service refund issued cont,0,0
jetblue well lucky fly jbi guess would even squished airline,2,0
southwestair helped nice lady phx checkin spent hour hold hour might want look efficiency,0,0
americanair already spoke line unwilling help really poor support hitawall,0,0
americanair guy dfw stuck gate half hour pull slide,0,0
united entire problem never sent anything via email given flight booking problem number phone,0,0
usairways already tried conf via dm,0,0
united dm hold customer service long time min getting runaround thanks,0,0
keep waiting time cost anything jetblue hundred people payed thousand dollar feedback,0,0
virginamerica bad say take day via confirmation email inquired week claim week,0,0
jetblue hour policy called said didnt report soon enough would changed noticed sooner,0,0
jetblue thank service credit pamgrout positive thought,2,2
southwestair use luv swa hour counting hold flight cancelled flighted noluv,0,0
southwestair completely let tonight gate agent ambivalence much sad amp,0,0
united yes nonstop memphis tomorrow morning snow coming got finger crossed go,1,1
united unitedappeals gg kind hypocrisy cancelled flightling ticket bad exchange rate advantage united,0,0
united keep flight cheap earlyon time good flew americanair cancelled flightled flight time last month unitedgt,2,0
usairways moving plane end runway u sit hour half didnt even let u,0,0
southwestair great flight great view,2,2
americanair usairways maam complaint visit customer service desk see line people deep,0,0
jetblue wife dog wouldnt even let plane daughter newburgh life close wrong,0,0
southwestair yes extra wonder going yo loose room,0,0
jetblue system running,1,0
americanair customer svc rep unable handle call hr cancelled flightlation policy booked yesterday need cancelled flight,0,0
united truly worst day flying ever experienced,0,0
usairways plz plz plz hold eyw phl gtclt sooo late flight gonna miss connection jabevan th gth,0,0
jetblue remember im doubtful hopeful,0,0
united splitting flight quadruple price,0,0
jetblue im getting info website needing check alert would much beneficial,1,0
usairways yes horrible snow seriously hire people answer phone competitor call back number,0,0
united look like came thanks help,2,2
southwestair big thanks team family emerg day ticket experience excellent st time flying yall last,2,2
jetblue voucher cant believe took risk plane terribly filthy screaming baby face,0,0
usairways ive hold minute get receipt know guy busy think time higher staff,0,0
united plan ipad app iphone app great ipad flip ipad beta tks,1,1
united messaged requested called baggage team still newark please help let know next step,0,0
americanair cxl flight tofrom dfw cll wo notice treat like trash phone offer compensation wth,0,0
jetblue terrible landing,0,0
jetblue anywhere away snow globe warmth sand palm tree,1,1
americanair attached original ticket flight number isnt experience thought would terrible,0,0
southwestair boooo dont like airline,0,0
united charging people see freaking flight map,0,0
southwestair wifi plane gotta pay help broke homegirl,0,0
southwestair quick question bought wifi phone buy tablet hour left trip,1,0
usairways please dont go check process americanair us mco absolute disaster,0,0
southwestair thanks ellamae la counter going beyond help u get back abq flight cancelled flightled,2,0
americanair nicest people ever flight chicagothanks david deane amp norma sedholm making feel comfortable,2,0
united soon done article thanks tom,2,2
usairways actually cared would one thing sound like dont like told lousy service,0,0
united thanks remembering load bag onto connecting flight oh wait forgot iceland fun clothes,0,0
americanair qsvgru would next flight arrive,1,1
united consolation staff stellar hour delay encountered every one flight,0,0
usairways mean posted usair empl direct anyone accepting call contact usair rebook greatjob,0,0
usairways made cancelled flight car reservation came moneywhy reschedule time without crew,0,0
virginamerica need follow back order dm,1,1
americanair check reservation joe watson kelsey jennings hold hour waiting call back eta,0,0
americanair get travel question answered quickly online calling helping busy day,0,0
jetblue way get ppl standby list flight fll bos trying find way home,1,0
usairways flight dfw cancelled flightled today,1,0
united certainly,0,0
united fast enough excuse service big hub outdated craft southwest wifi awful,0,0
jetblue well fly huntsville al id take either nashville birmingham,1,1
united gate iad rdu,1,1
united charge delay united still waiting,0,0
americanair pretty frustrating cant even stay hold get help flight cancelled flightation,0,0
southwestair fort launder dale gate agent cant switch flight earlier flight phoneridiculous,0,0
jetblue suck customer service worst whats point loyalty scheme dont honor badairline,0,0
united u reboard without captain well sitting another min,0,0
united forgot intl flight lax dont go intl terminal easiest recheck ever woo,2,0
usairways horrible service wrong plane arrived many confirmed passenger could get flight paid due lack seat flight,0,0
united coach interior ua looked like salvaged tiny unusable video power amp lifevests floor ua,0,0
united generic form ton field asking info already expected premier platinum another servicefail,0,0
jetblue thank alicia exceptionalservice,2,2
southwestair yall fast already winner congrats,2,1
southwestair never felt better taken care indian aunty gold standard thanks aruna,2,0
jetblue empty help desk,0,1
southwestair love tv ad girl dancing make laugh every time want take trip,2,0
usairways oh irony dog spot barking waiting area right front please send cocktail coupon stat,0,0
southwestair guest need change flight reservation need happen say canplease help,1,1
jetblue thank isnt really responding request sending generic environment site,0,0
southwestair tried leave monday plane left mine one keep getting delayed missed work pay cab,0,0
united hi booked flight yesterday received email w confirmation number today got error active flight segment,1,1
southwestair thanks southwest saving trip sweetheart isnt going miss seeing altonbrownlive thanks yall sohappy,2,2
united followed baggage rule website still charge going one way,0,0
usairways need help flight weather funeral tough combination hold hour please,0,0
jetblue fleet fleek r u serious,1,1
jetblue wsj team offering inflight access journal content,1,1
united great way start vacation time departure looking forward global first class suite,2,2
jetblue want enter family pooling contest say website please enter still,1,0
usairways tried speaking multiple people reservation desk min hold waivethefee poorcustomerservice neptune,0,0
usairways flight phoenix deboards passenger going salt lake city cant resolve simple bathroom issue fail,0,0
usairways take money requires day process refund auto attendant hang usairwaysfail,0,0
americanair yes say deliver within hour pick line,2,0
united interview long take hear back,1,0
united thing fella done right today get pacific time zone,2,0
southwestair best video seen ever teamspirit,2,2
united record denver concourse prior gettin shuttle want confirm location,0,1
usairways difficult work baggage claim dont answer phone,0,0
southwestair completely understand act god weatherrelate flightd cancelled flightlation day without reimbursement kind unacceptable,0,0
jetblue thanks quick response finger crossed plane get,2,2
southwestair leeannhealey yeah sale fare got place fly oh damn right live swa doesnt fly,0,0
jetblue fleet fleek hate,0,1
southwestair important accept others swadiversity,1,1
usairways americanair knowhockey stick expensive baggage handler shouldnt throwing cart,0,0
americanair getting bit ridiculous made miss full day work pay cab back forth,0,0
usairways absolutely,1,0
usairways accommodated dsm flight tonight delay myrtle beach flight dsm back tonight,0,0
usairways flt ground dont gate u dca happening,0,0
united cant american airline suppose,0,0
usairways patience connecting flight need guy every time travel every single time,0,0
usairways arent twitter reservation connected people want reservation duh,0,0
americanair robinreda stuck two day airport something pretty normal positive find plane europe,0,0
southwestair left ipad flight erw den opened claim many memory plz help get back,0,1
usairways want icecream baby,1,0
never got strip fast stoked special imaginedragons show tonight thx southwestair,2,2
jetblue whatever lil mint heart desire,1,1
united flight mco delayed amp scheduled arrive connection departs option,0,0
southwestair ugh kicking missing destinationdragons need imaginedragons back life,1,0
jetblue kudos done heading warmer weather,2,2
usairways im unable use departing flight still use returning flight,1,0
americanair appreciate apology sincerely thank thats really ever wanted begin,2,2
united would like talk customer service agent service non service received last flight week go j,0,0
usairways maybe drive usairwaysfail,1,0
americanair flight leaving dallas right maui trying figure delayed flight going,0,0
southwestair get kind update delayed flight boston houston really need back home tonight,0,0
united already rebook miss first appointment london tomorrow morning thanks ruining trip,0,0
americanair flight jfk ege cxld runway hour flight moved wont give luggage back nice,0,0
usairways apply ur credit card automatically get companion certificate wait,1,0
usairways nightmare ever end found flight today delayed due ground handling delay affecting prior flight,0,0
jetblue using jetblue air mile,1,1
americanair need go frm tpa mci tmrw amp connection thru dfw cancelled flightled u connect thru diff city hold hr,0,0
jetblue poor storm customer service hr takeoff delay waiting snack cart rude steward name love guy trueblue,0,0
americanair thank best could get rebooked agent phone amp addtl resolution dm much appreciated,2,2
americanair changed aadvantage travel plan amp called get help sea ur busy amp hang give,0,0
united understand thanks,1,2
americanair thank update,2,2
jetblue im disappointed flight cancelled flighted mostly excited listen song im blue flying jetblue,0,0
united suck,0,0
jetblue thanks,2,2
united ewr ppl told call xday since monday still layover loc ref tho help appreciated,0,0
southwestair rescue sundown chicago next stop san antonio,1,0
jetblue letting san fran medium rate whats deal look like last time fly anywhere,0,0
united news departure flight ua,1,1
united never fly went vacation week lost bag way clothes thankyou,0,0
americanair raleigh updated southern state advisory,0,0
united nightmare continues,0,0
usairways ok th try todaygiving minute hold time terrible,0,0
americanair fly american family severe weather excuse cant call make change computer u cant modify,0,0
southwestair still havent able get thanks responding,1,0
americanair thanks,2,2
southwestair change hold music going hour im loose,0,0
southwestair bag possession clothes bag,0,0
americanair thanks canned response make look like care customer im sure twitter user fall,0,0
usairways checked online tomorrow flight thought get auto upgrade already got email saying seat,1,0
united san diego chicago leaving tomorrow,1,1
united stuck ogg look like flight cancelled flightled help,0,0
americanair good morning wondering pretsa check boarding pas morning,1,1
southwestair hold waiting make special accommodation mom traveling hour minute hold unacceptable,0,0
americanair still hold hung first time another minute,0,0
power move rt jetblue fleet fleek,2,1
united nope still one helped giving united badservice,0,0
americanair lady b abq great service among several cancelled flightlations,2,2
americanair situation jfk evening going get better worse cancelled flight flight like yesterday h delayed,0,0
americanair rldelahunty record loaaret got email couldnt get rescheduled another flight dont know flight cancelled flightled,0,0
usairways also explain checked u airway site amp picked standby st put list,1,0
usairways emailed week ago still nothing,0,0
southwestair know crew today flight au pdx awesome swa,2,2
americanair beantownmatty sound like date,2,1
southwestair betsy besty gettin stuck la might bad mostbut want home homewardbound betsy besty thankyou,0,0
usairways three hour delay miami london none flight today delayed put another flight,0,0
usairways upset customer service simple question phone system disconnected day today yesterday,0,0
virginamerica lot flight book site working ive phone waiting minute,0,0
usairways sitting runway hour leave airport wo luggage ur st day,0,0
usairways found great price thru u air honeymoon website wont work hold hour told min,0,0
jetblue agent iad compounded problem making announcement jetbluemess,0,0
americanair americanair expect,0,1
americanair dear american hour hold time become industry standard heard additional staffing weather,0,0
stop usingthisword youre company rt jetblue fleet fleek,0,0
united seriously hr get bag iad intl arvls carousel custs wcancelled flightled connects understand irrops ridiculous,0,0
southwestair possible add companion nd leg trip,1,1
usairways utterly unreliable didnt schedule pilot u flight seattle flight delayed usairwaysfail,0,0
usairways ill addition reviewing blog agent pleasant experience less,0,0
usairways u returned gate get mel sticker oh look heard pilot clue mel sticker anyone,0,0
usairways change correct last name via reservation already said cant change ticket name,1,1
southwestair minute hold waiting ridiculous,0,0
usairways best follow please,2,2
lord whyjetblue fleet fleek,1,1
united thanks lol ua wait u per flightaware tail number ua,2,1
jetblue blaming tsa flight luggage debacle luggagegate,0,0
nice try americanair heard crew whisper shes still hotel probably doesnt think work tomorrow,0,0
united ua finally cancelled flighted hr delay replacement flight leaf late flightr one scheduled tomorrow cool,0,0
jetblue big board say arent leaving,0,0
usairways nothing done online help bought birthday present trying able afford change,1,0
americanair thank replying trying figure get dfw,2,1
usairways way tell gate going stuck tarmack intl flt flt going elm gate f,0,0
virginamerica many apology r worse airline dont even respond cudtomers,0,0
southwestair trying rebook fare wanna get away pricing disappeared time refreshed normal,0,0
jetblue thank appreciate,2,2
virginamerica taking year fly home dallas get shit together,0,0
usairways stop cancelled flighting flight provide real help customer strandedinnashville,0,0
americanair fat man stuck airplane bathroom,0,0
virginamerica ladygaga carrieunderwood sorry mary martin first,1,1
americanair flight tomorrow reservation coming help,1,1
usairways horrendous pull shit together,0,0
united hi flying domestic first sea hnl pay use lounge fly international thanks,1,1
united waste time airline get automated message disappointing always,0,0
united customer service terrible,0,0
southwestair mine,1,1
usairways vega baby doesnt good time vega lol,1,0
usairways waive fee time cancelled flightation waive future date usairways ripoff poorcustomerservice,0,0
united u gate ready gate agent going hour two,0,0
united dont allow family small child board first anymore next flight another airline,0,0
united u guy changed age double booked seat ive even though platinum person none,0,0
southwestair thx make right help meagan fouty brancato fl dfw gate preboard wkids b group please please,2,1
united feel well informed yes flight indeed delayed thank,0,2
americanair trying add tsa pre check number reservation online dont see option nosecuritylines,0,0
usairways beamske real live person talk person whose luggage lost day vacation wrecked yorkshire,0,0
united frontier,1,1
usairways tyvm usair happy night lt,2,0
united ask call get fixed tweeting b question stall make thing worse phone number please,0,0
americanair understood thanks anyway,2,2
americanair almost million mile w u loyal u r u going reciprocate joke,0,0
usairways told record refund someone please help long day,0,0
usairways please improve phone system going multiple prompt amp menu told call back late flightr major fail,0,0
usairways annettenaif appreciate shoutout roberto dm confirmation code forward kind word sent,1,2
united way simple apology go long way even hollow one obvious dont care wellbeing,0,0
united rude rude,0,0
united incentive give another chance,0,1
jetblues valentinesday email point amp clever thanks amazing jetblue loveisintheair,2,2
southwestair yes please,2,1
southwestair hour delay make nice offer rescheduling next day,0,0
usairways rebooked missed flightnever called didnt check email cont,0,0
usairways thank say website,1,0
americanair email phone call nothing youve screwed flight familyfriends flight cancelled flighted reservation,0,0
americanair fcuk shit service got fan,0,0
usairways lack customer service shined need step get lost baggage delta return,0,0
southwestair guy flight attendant last flight hilarious,2,0
scm usairways hate delay tried although sure timbit,0,0
jetblue thats option u help fix wouldve made change earlier given accurate info,0,0
americanair worst flight customer service second time ive cancelled flighted gotta pay hotel find ride,0,0
southwestair unfortunately call answered service horrid swa rolemodel finger pointing amp excuse disappointed,0,0
americanair dont worry wont steal money,0,0
usairways hour delay phomia airline bad getting worse foolish american merge treat customer like crap,0,0
jetblue love traveling jetblue cant wait go paris oui oui nyc awesomeee,2,1
americanair number even let wait next customer rep frustrating cant talk human,0,0
americanair good enough info communicated point silence hour sat oh seat broken worst,0,0
jetblue washington dc,1,1
united mind,1,0
jetblue thank opening conversation hope make right,1,2
virginamerica fyi infovirginamericacom email address say contact password reset email doesnt exist email bounce,0,0
united hi yes need free hotel stay honalulu due hour delayua since miss second flight kauai,0,0
americanair thanks idk still late flight hope get tonight,2,0
united yeah tried time two different ticket told try late flightr,0,0
usairways hi flying myrcltord tomorrow weather looking ok problematic,1,1
jetblue ticket issued whilst delivering customer,0,0
united lost wallet flight yesterday houston bogota filled online form response yet,0,0
usairways thank reaching hopefully request fixed remain loyal customer,0,2
americanair dm pay money want reach help way around,0,0
southwestair sent another drink couponsi think coupon free drink anyone,2,0
usairways southern hospitality luggage delivery service sav awful great delivering empty promise luggage hrsampwaiting,0,0
united would great k u,2,2
southwestair done sorry thought already,1,1
southwestair hold hr cant get airport flight icy country backroads help pls southwestair bna,0,0
united checking see flight atlord got cancelled flighted,0,0
americanair flight jacksonville fl dallas showing cancelled flightled going rebooked another flight,0,0
united flight scheduled havent moved never flight everyone moved without sense,0,0
americanair tried book rwrd told couldnt bought tix usair aano choice didnt bother aadv svc,0,0
ninadavuluri think treat onboard enjoy flight,2,0
united flight unfortunately isnt isolate flightd incident havent waited less min year,0,0
usairways cost change ticket cost purchase new ticket,0,1
americanair airsouthwest flight chicago buffalo hour flight care safety,0,0
united going nothing like always,0,0
americanair biggest joke ive ever seen telling everyone never use guy cause joke,0,0
usairways yes delta,1,0
jetblue token goodwill voucher passenger stuck flight phoenix today hour mark per passenger,0,0
united o isnt controlled rather verizonwireless app new,1,0
americanair expecting delayscancelled flightlations dallas th due snow nothing like monday hope,1,0
usairways yes ground crew finally showed plane could depart late flight,0,0
usairways first pilot late flight maintenance exactly happened two week ago unacceptable,0,0
